Utterance,Intent
"We need to edit the Raul vacation and reduce the day from 30 days to 20 days, according the law, with a original date 05/05/2019",Edit a vacation you have already submitted
"Please change my vacations day, it was start October 20, but now I need more days, 14 instead 7.",Edit a vacation you have already submitted
"edit old and add new vacation from 7 to 14 days,starting from january 12.",Edit a vacation you have already submitted
"I want to edit a vacation date, original date was on may 1st to may 9th. New start date is on may 5th and end date is on may 15th.",Edit a vacation you have already submitted
I want my vacation that stars on july 20 to be changed from 8 days to 10 days,Edit a vacation you have already submitted
Change vacation on march 4 of 15 days to 12 days,Edit a vacation you have already submitted
Please change vacations days which start on may 2 of 31 to 62 days,Edit a vacation you have already submitted
"hi, please change my vacation days number, from 10 to 14 days. thanks",Edit a vacation you have already submitted
Could I change the request for a vacation starting on Jan 13th? I would like to use 12 days instead of 8.,Edit a vacation you have already submitted
"Hello, I need 3 extra days of vaction starting 25 of May. So from 12 days it would be 15 now.I have some personal issues to handle.",Edit a vacation you have already submitted
i want to change my vacations from feb 12 to feb 28 for treatment of illness,Edit a vacation you have already submitted
Please make the dates of my vacations from march 3 to march 10 instead march 3 to march 13,Edit a vacation you have already submitted
"i want my date of vacation of 1th of july to 15th of august, for 10th of july to 10th of august",Edit a vacation you have already submitted
i need to take my vacations on july 01st instead june 22nd and ends on august 02nd instead on july 20th,Edit a vacation you have already submitted
i want to change my vaction date which start from 12 to 18 and the new shecudle is 15 to 18,Edit a vacation you have already submitted
edit my vacation from january first - january 22th to march first - march 22th,Edit a vacation you have already submitted
i wnat to chage my vacation from june 3 ti june 15 to between from june 7 to june 21,Edit a vacation you have already submitted
Make my vacation that was from july 15 to august 15 to be from july 20 to august 20 please,Edit a vacation you have already submitted
Please change vacation date which start on june 1 to august 1 and edit to august 15 to september 15,Edit a vacation you have already submitted
"I need to change my starting date from January 1 to January 7, to January 7 to January 30.",Edit a vacation you have already submitted
Reverse my schedule vacation sended yesterday from 01/02/2019 to 30/02/2019 for this new date: 01/03/2019 to 30/03/2019,Edit a vacation you have already submitted
Please edit my vacation of april 2 to from paid off time to maternity leave,Edit a vacation you have already submitted
"i need my vacation this year 02/02/2020 , my last year was 02/02/2019 and my next vacation is 02/02/2021",Edit a vacation you have already submitted
I need to take my normal vacations on april 25th instead my christmas holidays,Edit a vacation you have already submitted
please edit my vacatin type from sick to travel which start from 12 jan,Edit a vacation you have already submitted
I want to change the type of vacation of the vacation of june 4th to june 8th to the type sick.,Edit a vacation you have already submitted
change me the valentine's day vacation of february 14th to single-again's day vacation,Edit a vacation you have already submitted
the vacation on may 4 was for illness now is for treatment,Edit a vacation you have already submitted
Change my camping trip to a beach trip on july 12,Edit a vacation you have already submitted
Can you edit vacations type maternity to pleasure starting on september 31,Edit a vacation you have already submitted
"I need to change my vacation type from Maternity Leave to Sick, which starts at March 10.",Edit a vacation you have already submitted
can you please edit my vacation from 20/20/2020 from skiing trip to business travel,Edit a vacation you have already submitted
edit the old sick and add a new health vacation on may 10th,Edit a vacation you have already submitted
"I want to edit a vacation i have already submitted, new start date on december 1st, old type was for travelling, but now is for a personal problem.",Edit a vacation you have already submitted
Please edit my vacations of May 1 from 15 days to just 10 days,Edit a vacation you have already submitted
i want to change my vacation from 5 days to 6 days on feb 23,Edit a vacation you have already submitted
How many days of vacation i have?,Ask about remaining vacation days
How many days of vacation are left?,Ask about remaining vacation days
"Please, I would like to know how many days of my paid off vacations left to me, I need to go back to work.",Ask about remaining vacation days
How many days of vacations do i have left,Ask about remaining vacation days
How many days remain till vacation?,Ask about remaining vacation days
How many vacation days do I still have the right to request?,Ask about remaining vacation days
how many remaining vacation days?,Ask about remaining vacation days
How many vacation days remains me,Ask about remaining vacation days
I need to take the rest of my remaining vacation days on june 01st ad end on june 08th,Ask about remaining vacation days
"I am trying to keep my actual days for my vacation, if it is possible",Ask about remaining vacation days
What are my remaining vacation days?,Ask about remaining vacation days
Can you please tell me how many days i have left to use of my vacation days,Ask about remaining vacation days
how many days do I have of vacations,Ask about remaining vacation days
how many days left over my vacations?,Ask about remaining vacation days
"Hi, i would like to know how many days of vacation I have left.",Ask about remaining vacation days
how many days of vacations are left?,Ask about remaining vacation days
how many days of vacation do i hace left,Ask about remaining vacation days
Let me know how many outstanding vacation days do yoy have?,Ask about remaining vacation days
how many vacation days have left,Ask about remaining vacation days
how many days are left on my vacation,Ask about remaining vacation days
How many days are left from my maternity leave?,Ask about remaining vacation days
i need a vacation for a few days because i had a accident of transit and fracture my leg,Ask about remaining vacation days
I want to know how many days of my christmas holidays remain,Ask about remaining vacation days
sir please tell me that how many sick vacation days are left,Ask about remaining vacation days
How many days can I still use as vacation days in order to take some time off?,Ask about remaining vacation days
tell me how many days remains for my birthday vacation to end?,Ask about remaining vacation days
how many days left on my vacation for treatment of illness,Ask about remaining vacation days
How many days are left of my paid time off?,Ask about remaining vacation days
How many days remains to pleasure vacations,Ask about remaining vacation days
I would like to know how many days remains of my Maternity Leave.,Ask about remaining vacation days
How many days left from my health vacation of this year?,Ask about remaining vacation days
how many day i have in remaining vacation days because i want to to to spa,Ask about remaining vacation days
how many sick days of vacation do i still have,Ask about remaining vacation days
How many days I have left of my vacations for travelling.,Ask about remaining vacation days
I want to cancel my vacation for this period.,Cancel an existing vacation
Please cancel my vacations that started on march 1 until march 15,Cancel an existing vacation
"I need to cancel my vacations from March 10th to March 17th, I did not pay my credit card and I do not have cash to pay it.",Cancel an existing vacation
I want to cancel a holiday that begins on December 10th at culminates on December 25th please,Cancel an existing vacation
Please cancel my existing vacation which starts June 10th and endsJune20th,Cancel an existing vacation
I want to cancel the vacation of april 20th to april 25th,Cancel an existing vacation
"i want cancel my vacations of 02/15/2020 to 03/15/2020 , for a emergency familiar",Cancel an existing vacation
Please cancel my vacation that is start from 26 th February to 30 th February.,Cancel an existing vacation
I need to cancel my existng vacations wich started on june 01st and end on august 03th,Cancel an existing vacation
I won't go on vacation from july 20 to august 15,Cancel an existing vacation
Please cancel vacation that i scheduled between 23rd and 28th of February this year,Cancel an existing vacation
please cancel the vacation scheduled to february - april i dont need it anymore,Cancel an existing vacation
I would like to cancel a vacation that was scheduled on november 9th to november 21st.,Cancel an existing vacation
Please cancel the scheduled holydays from July 12th to August 12th,Cancel an existing vacation
your vacation from dec 4 to dec 15 was cacelled,Cancel an existing vacation
How can i end a vacation before februay 20th?,Cancel an existing vacation
"Since the function was called off, Im canceling the vacation from 10th Sep to 12th Sep",Cancel an existing vacation
I want to cancel my vacation Start on 14th February and end on 19th February.,Cancel an existing vacation
Can you erase my travel vacation of may 1?,Cancel an existing vacation
I want to cancel my scheduled vacation to Paris of April 15th because I do not have money enough to pay for it.,Cancel an existing vacation
I want to cancel a vacations resquested by 12th december,Cancel an existing vacation
Cancel my existing vacation I provided on March 08,Cancel an existing vacation
Could you please cancel the week of vacation that I had starting on the first of july.,Cancel an existing vacation
"i want cancel my next vacation of 02/15/2020 , for a emergency personnel",Cancel an existing vacation
Please cancel the 20 th February's vacation.,Cancel an existing vacation
Can you cancel august first vacations,Cancel an existing vacation
i need to cancel my existing vacations that started on june 03th,Cancel an existing vacation
i want to cancel vacations,Cancel an existing vacation
Cancel my vacations that are supposed to star on july 23,Cancel an existing vacation
please cancel my vacation from date 22/02//2020,Cancel an existing vacation
"Hi, I want to cancel a vacation that was scheduled for july 20th.",Cancel an existing vacation
I have to cancel a vacation that starts from January 12th to health problems,Cancel an existing vacation
Iwant to cancel my holiday pending,Cancel an existing vacation
your vacation on april 3 was cancelled,Cancel an existing vacation
"The program has been postponed, Im canceling my existing vacation which is dated on 4th Jun",Cancel an existing vacation
Could you approve Diana's vacation?,Approve someone's vacation
give aprovement to andrew's vacation solicitation,Approve someone's vacation
the nela vacations was approved,Approve someone's vacation
Approve Jessica's request for vacation please,Approve someone's vacation
Please approve Jonas Perl vacations,Approve someone's vacation
Please approve Lisa's Maternity Leave vacation.,Approve someone's vacation
"I need the approvation for Mr. David vacation for tomorrow, please",Approve someone's vacation
i want u to approve Alex Smith's vacation in nest ten days please,Approve someone's vacation
get paul the requested vacation.,Approve someone's vacation
I just approved vacations for Elton Klent.,Approve someone's vacation
the vacation of Mr Medo is not approved,Cancel someone's vacation
I need to reject the vacations request from Michael,Cancel someone's vacation
Cancel vacation of Maria Potapova in July.,Cancel someone's vacation
Cancel Ariel's vacation for March 23,Cancel someone's vacation
i want change my vacation from my 18 to may 23 to be between january 5th and february 11th,Cancel someone's vacation
i want to cancel henry melendez vacation,Cancel someone's vacation
"Please, I need to cancel Phillip's vacations, He will work at that dates.",Cancel someone's vacation
cancel the holidays that are up to jose please,Cancel someone's vacation
dismiss the vacation for john please.,Cancel someone's vacation
isabel your vacation was cancelled,Cancel someone's vacation
Please cance Sam Ronster vacations,Cancel someone's vacation
Nikola would cancel the request for a vacation dated the 8th of July.,Cancel someone's vacation
Kindly cancel Jake's vacation as we need this to finish a special project.,Cancel someone's vacation
the vacation of Ms Sally is approved for the reason she provide and the vacation of Mr Reco is rejected,Approve someone's vacation and cancel someone else's vacation
Please cancel Trevor's vacations and aprove Lucille's,Approve someone's vacation and cancel someone else's vacation
Approve vacation of Dima Holyi in July and cancel vacation of Marsha Potya in July.,Approve someone's vacation and cancel someone else's vacation
Approve Maria's vacation scheduled for March 12 and cancel Jean's vacation scheduled for March 12.,Approve someone's vacation and cancel someone else's vacation
"Gabriel Betancourt vacations are approved, cancel Marlin Ibarra vacations",Approve someone's vacation and cancel someone else's vacation
i wat change my vacation from may 5 to jun 19 to be between jun 7th and agost 2,Approve someone's vacation and cancel someone else's vacation
"We need to cancel Mr. Jose vacation for health problem, and in change we are going to aapproved Mr. Angel vacation",Approve someone's vacation and cancel someone else's vacation
the vacation of henry was approved and the vacation of melendez was rejected,Approve someone's vacation and cancel someone else's vacation
Please approve the vacations of Lisa and I need you reject the John's.,Approve someone's vacation and cancel someone else's vacation
approve me the vacations to melissa and cancel those granted to ana,Approve someone's vacation and cancel someone else's vacation
reject fred's vacation and approve mary's vacation.,Approve someone's vacation and cancel someone else's vacation
Please aprove Accel Jones vacations and reject Ronald Peter,Approve someone's vacation and cancel someone else's vacation
"Hello, could you modify the vacation schedule in rejecting Jim's request and approving Mike's instead? We have some new issues coming in the picture and only Mike can help.",Approve someone's vacation and cancel someone else's vacation
We approved the vacation of Raju and rejected that of Ravi,Approve someone's vacation and cancel someone else's vacation
What is Mark's vacation balance?,Ask about an employee's vacation balance
Peter wish to know how many days of his vacations left,Ask about an employee's vacation balance
Search for me Martin Ramson vacation days,Ask about an employee's vacation balance
What is the vacation balance of Sara?,Ask about an employee's vacation balance
how many days of vacation do i have left,Ask about an employee's vacation balance
tell me the vacation balance of david,Ask about an employee's vacation balance
When is Adam's upcoming vacation?,Ask about an employee's vacation balance
inder sick leave vacation balance,Ask about an employee's vacation balance
what is the vacation balance of jesus,Ask about an employee's vacation balance
Please let me know of the details regarding Simon's vacation balance,Ask about an employee's vacation balance
How much money will Torres get for the vacation,Ask about an employee's vacation balance
Ms. Dana i need to know the current vacation balance,Ask about an employee's vacation balance
I want to know about Martin Smith vacations.,Ask about an employee's vacation balance
inder accountant requesting a lettet to hr about salary,Requsting an HR letter
I want to change ty vacation from jan 3rd to feb 23 tobe between january 6th and february 10th.,Requsting an HR letter
how many free vacation days do i have now as director,Requsting an HR letter
"henry melendez manager , he want to know about your minimium wage",Requsting an HR letter
i want to change my vacation from jan 3rd to feb 23 to be between january 7th and february 10th,Canceling request for an HR letter
i wath change my vacation from sep 9 to sep 25,Schedule an interview with someone
